N,Newton,Jacobiana,Gauss
32,0.2897,0.286,0.2783
64,0.277,0.2733,0.2603
128,0.284,0.2884,0.264
256,0.2687,0.269,0.2452
512,0.2656,0.283,0.2528
1000,0.2427,0.2673,0.2215
2000,0.2323,0.2818,0.2177
4000,0.2384,0.2902,0.2348
8000,0.2549,0.2842,0.2624
9000,0.2541,0.2864,0.2572
10000,0.2586,0.2861,0.2605
20000,0.2729,0.2806,0.2739
