N,Newton,Jacobiana,Gauss
32,1.8783,611.8654,630.0264
64,3.5112,958.1681,672.6915
128,6.6313,1125.5311,704.6135
256,12.136,1285.9998,722.5813
512,20.9379,1262.0491,731.8053
1000,32.7979,1703.2485,731.6463
2000,46.2355,1766.2209,732.796
4000,58.3286,1524.3641,731.9461
8000,67.5472,1135.0615,672.1801
9000,68.5996,1454.0033,725.1316
10000,69.5343,1498.8086,710.3743
20000,73.2475,1188.0556,717.4957
