N,Newton,Jacobiana,Gauss
32,300.9222,144252.7877,53286.9834
64,355.5391,197372.4206,37829.8947
128,324.6614,111457.6062,18120.7865
256,340.7117,68766.5513,11522.7445
512,375.014,59136.3888,7818.6372
1000,430.4749,55686.3029,6243.7222
2000,502.752,46019.623,6355.5955
4000,500.2208,34647.0219,5267.6754
8000,650.9184,33300.8436,7618.4623
9000,668.6686,36511.7831,7371.2361
10000,696.7018,36666.7996,7884.308
20000,815.2499,28911.3196,9093.8844
