N,Newton,Jacobiana,Gauss
32,312.4339,176236.9899,59013.9764
64,307.657,159060.832,31773.6521
128,339.5936,112927.7153,19607.5583
256,365.6771,82355.9891,11673.8409
512,368.0995,56201.5205,7144.8463
1000,378.6377,51120.8214,5167.7272
2000,458.5727,44617.7139,5073.6904
4000,512.1966,34613.2926,5047.8144
8000,649.632,35255.5136,6934.6804
9000,694.3783,36413.1949,8051.562
10000,698.4923,34240.9715,8202.3736
20000,812.5611,28880.759,9158.363
