N,Newton,Jacobiana,Gauss
32,54.7594,0.0,4684.1765
64,410.7164,0.0,7428.548
128,2461.2323,0.0,8342.0381
256,6037.0345,0.0,8076.2029
512,7674.5452,0.0,8161.8739
1000,6342.0353,0.0,6433.7922
2000,4236.0855,0.0,4250.8919
4000,3925.5849,0.0,3931.0045
8000,3991.4576,0.0,3994.0861
9000,3980.219,0.0,3982.5261
