N,Newton,Jacobiana,Gauss
32,305.227,166479.5602,52556.218
64,296.5379,173034.5418,26568.3272
128,329.8133,116656.5227,16971.0348
256,377.913,82720.3692,10657.5851
512,360.1699,51141.2384,6571.0496
1000,389.9043,50367.628,5104.6198
2000,429.1579,42517.5699,4169.8933
4000,495.3605,34907.4127,4841.9962
8000,660.5288,36310.0417,6391.8438
9000,651.892,31175.9577,6689.1988
10000,687.4516,35755.916,7103.1849
20000,796.4531,30015.3656,8172.0433
