N,Newton,Jacobiana,Gauss
32,1.8671,485.6828,625.3771
64,3.5446,962.9091,681.0004
128,6.6719,1072.0671,709.1946
256,12.0506,1324.7826,722.0323
512,20.5767,1385.1167,729.5504
1000,32.1946,1751.5628,724.6439
2000,46.3932,1741.5367,732.2727
4000,58.2316,1544.5964,734.0573
8000,67.1607,1492.7669,715.8805
9000,68.2531,1528.1738,733.6029
10000,69.3419,1494.4997,732.7658
20000,73.1035,1181.4988,730.1998
