N,Newton,Jacobiana,Gauss
32,0.2798,0.2725,0.2568
64,0.2748,0.2701,0.2564
128,0.2896,0.2873,0.2717
256,0.2696,0.2692,0.2502
512,0.2635,0.2771,0.2432
1000,0.246,0.2653,0.2304
2000,0.2397,0.2851,0.2181
4000,0.2384,0.2796,0.2403
8000,0.2527,0.2876,0.2578
9000,0.2533,0.288,0.2572
10000,0.2623,0.2886,0.2617
20000,0.2723,0.2788,0.274
