N,Newton,Jacobiana,Gauss
32,1.8722,450.3399,604.2901
64,3.5791,1045.8864,676.7107
128,6.6783,1202.5477,709.0856
256,12.2978,1256.9953,724.2644
512,21.0633,1444.44,732.1402
1000,32.2825,1719.0966,725.8971
2000,45.3037,1800.941,734.9738
4000,50.6283,1347.5906,695.3477
8000,58.5265,1436.1551,720.858
9000,59.1781,1325.4883,735.9771
10000,59.5508,1502.5766,726.2192
20000,60.3008,1152.2618,724.1413
