N,Newton,Jacobiana,Gauss
32,322.9972,178828.5783,55324.258
64,320.1295,155344.0909,29368.3338
128,353.2277,115829.1044,18915.6299
256,368.4516,83563.4091,10942.8156
512,355.797,57832.209,6246.1049
1000,388.4842,48724.3664,4295.7832
2000,463.6191,46536.5281,4842.4903
4000,522.0139,36230.6499,4206.9346
8000,639.3768,33941.3759,6477.8102
9000,684.3437,37185.236,7021.6139
10000,710.2368,34256.1572,7200.0526
20000,806.9995,29799.8324,8251.3064
