N,Newton,Jacobiana,Gauss
32,0.2745,415.1189,0.0
64,0.5452,897.7865,0.0
128,1.0205,1044.8411,0.0
256,1.8647,1233.4979,0.0
512,3.265,1518.3295,0.0
1000,4.9246,1693.1575,0.0
2000,7.0099,1786.4473,0.0
4000,8.6166,1509.6464,0.0
8000,9.7306,1490.9142,0.0
9000,9.9404,1527.6094,0.0
10000,10.039,1501.9986,0.0
20000,10.6439,1179.9806,0.0
