N,Newton,Jacobiana,Gauss
32,1.8636,560.8378,687.4786
64,3.5526,878.3829,723.5073
128,6.6159,1124.2516,772.1988
256,12.0246,1267.1447,786.1031
512,21.0318,1406.6345,799.7392
1000,33.1062,1748.4995,808.6214
2000,47.2169,1768.4477,807.2988
4000,58.9689,1517.5975,771.4303
8000,67.9301,1468.1675,807.7116
9000,68.9084,1498.4867,807.8406
10000,69.6987,1492.0022,775.5773
20000,74.5834,1083.2827,794.8765
