N,Newton,Jacobiana,Gauss
32,0.281056,0.001236,0.008249
64,0.476229, 0.001570,0.015648
128,0.861638,0.002128,0.030545
256,1.711234,0.004431,0.065325
512,3.244942,0.010865,0.121957
1000,6.334322,0.017363,0.249315
2000,12.569257,0.052950,0.474057
4000,25.083771,0.090229,0.985002
8000,50.250193,0.224554,1.990509
9000,56.516374,0.277070,2.149510
10000,62.864905,0.308259,2.369220
20000,125.313020,0.821030,4.771271
