N,Newton,Jacobiana,Gauss
32,1.8662,555.3834,644.4779
64,3.4399,826.5391,710.1387
128,6.559,1034.5465,753.5909
256,11.9049,1239.9136,778.2334
512,20.8356,1434.8896,802.5643
1000,32.712,1745.8607,807.9217
2000,47.4493,1806.4769,805.0656
4000,58.5653,1512.442,813.2089
8000,67.8435,1500.8249,803.1736
9000,68.9513,1515.9826,815.9597
10000,69.5423,1493.3927,814.7408
20000,74.722,1184.4858,802.724
