N,Newton,Jacobiana,Gauss
32,0.242313,0.001330,0.008255
64,0.498982,0.001483,0.015596
128,0.895868,0.002024,0.030563
256,1.670012,0.004443,0.060737
512,3.307737,0.012324,0.121349
1000,6.277228,0.017549,0.235178
2000,12.608375,0.056100,0.472668
4000,25.182293,0.090219,0.956838
8000,50.196208,0.221954,1.922878
9000,56.488116,0.288076,2.128734
10000,62.754019,0.319701,2.373565
20000,125.305053,0.816838,4.807733
