N,Newton,Jacobiana,Gauss
32,0.282209,0.013741,0.008740
64,0.508780,0.001544,0.017204
128,0.903383,0.001967,0.033712
256,1.690912,0.004434,0.066919
512,3.316562,0.012083,0.133376
1000,6.326647,0.017482,0.261329
2000,12.664964,0.057188,0.523146
4000,25.262696,0.089464,1.056737
8000,50.482397,0.247901,2.102891
9000,56.725369,0.303257,2.478622
10000,63.055347,0.322993,2.761274
20000,126.311876,0.815675,5.260329
