N,Newton,Jacobiana,Gauss
32,0.9329,459.9061,0.0
64,1.904,1003.1931,0.0
128,3.6515,1062.2269,0.0
256,6.8405,1221.6218,0.0
512,11.7561,1424.7361,0.0
1000,18.2248,1754.6175,0.0
2000,25.8296,1781.3679,0.0
4000,31.6932,1541.5719,0.0
8000,36.0529,1493.6247,0.0
9000,36.536,1513.639,0.0
10000,37.2219,1514.5205,0.0
20000,39.4079,1175.644,0.0
