N,Newton,Jacobiana,Gauss
32,0.2741,0.2718,0.2647
64,0.2524,0.2444,0.2329
128,0.2603,0.2602,0.2444
256,0.2642,0.2679,0.2396
512,0.2561,0.2598,0.2458
1000,0.244,0.268,0.2266
2000,0.2275,0.2738,0.1978
4000,0.235,0.2911,0.2228
8000,0.2517,0.2937,0.2493
9000,0.2528,0.2861,0.2584
10000,0.2598,0.2898,0.2588
20000,0.2746,0.2776,0.283
