N,Newton,Jacobiana,Gauss
32,61.0547,66.9307,6203.3171
64,425.4196,34.7784,8316.1965
128,2395.9599,19.3533,8603.5423
256,6092.0323,10.2011,8368.259
512,7792.05,5.1886,8320.9179
1000,6395.8511,2.5207,6491.3267
2000,4246.3538,1.221,4261.2943
4000,3875.5525,0.606,3880.8975
8000,4024.8625,0.303,4027.5281
9000,3989.091,0.2694,3991.4047
